actionKey|descriptionKey
Adaptogen|Adaptogen
Alterative|Alterative
Analgesic|Analgesic
Anodyne|Anodyne
Anticoagulant|Anticoagulant
Antiemetic|Antiemetic
Antimicrobial|Antimicrobial
Antiplatelet|Antiplatelet
Antispasmodic|Antispasmodic
Anti-Inflammatory|Anti-Inflammatory
Antitussive|Antitussive
Astringent|Astringent
Carminative|Carminative
Cholagogue|Cholagogue
Demulcent|Demulcent
Diaphoretic|Diaphoretic
Diffusive|Diffusive
Digestive|Digestive
Diuretic|Diuretic
Emetic|Emetic
Emmenagogue|Emmenagogue
Emolient|Emolient
Galactagogue|Galactagogue
Hepatic|Hepatic
Hepatoprotective|Hepatoprotective
Immune Stimulant|Immune Stimulant
Hypnotic|Hypnotic
Hypoglycemic|Hypoglycemic
Nervine|Nervine
Nervous trophorestorative|Nervous trophorestorative
Nutritive|Nutritive
Relaxant|Relaxant
Rubefacient|Rubefacient
Sedative|Sedative
Stimulant|Stimulant
Stomachic|Stomachic
Trophorestorative|Trophorestorative
Vulnerary|Vulnerary
