herbKey|constituentKey
Astragalus|asparagine
Astragalus|astragalin
Astragalus|astragalosides
Astragalus|caffeic acid
Astragalus|cholorgenic acid
Astragalus|formononetin
Astragalus|kumatakenin
Astragalus|quercetin
Astragalus|saponins
Boneset|susqueterpine lactones
Boneset|diterpines
Boneset|flavonoids
Boneset|hyperoside
Boneset|sterols
Boneset|polysaccharides
California Poppy|berberine
California Poppy|canadine
California Poppy|chelerythrine
California Poppy|chelidonine
California Poppy|cryptotine
California Poppy|flavone glycosides
California Poppy|protopine
California Poppy|rutin
California Poppy|sanguinarine
Catnip|caryophyllene
Catnip|citronellol
Catnip|geraniol
Catnip|humulene
Catnip|iridoids
Catnip|limonene
Catnip|nepetalactone
Catnip|nerol
Catnip|tannins
Catnip|thymol
Catnip|ursolic acid
Catnip|volatiles
Elecampane|helenin
Elecampane|inositol
Elecampane|inulin
Elecampane|quercetin
Elder|anthocyanins
Elder|astragalin
Elder|botulin
Elder|campesterol
Elder|chlorogenic acid
Elder|cyanidins
Elder|hyperoside
Elder|pectin
Elder|quercetin
Elder|sambunigrin
Garlic|ajoene
Garlic|allicin
Garlic|alliin
Garlic|alliinase
Garlic|allyl compounds
Garlic|disulfides
Garlic|dithiins
Garlic|FODMAPs
Garlic|thiosulfinates
Ginger|gingerol
Ginger|oleoresin
Ginger|shogaols
Ginger|volatiles
Ginger|zingiberene
Hops|caffeic acid
Hops|catechins
Hops|chlorogenic acid
Hops|humulene
Hops|linalool
Hops|lupulene
Hops|myrcene
Hops|pectin
Hops|phytoestrogens
Hops|procyanidins
Hops|quercetin
Hops|resins
Hops|tannins
Hops|volatiles
Lobelia|carboxylic acids
Lobelia|chelidonic acid
Lobelia|lobeline
Lobelia|piperidine
Lobelia|pyridine alkaloids
Maitake|beta-glucans
Maitake|cardiolipin
Maitake|cerebrosides
Maitake|emitanin
Maitake|ergosterol
Maitake|eritadenine
Maitake|polysaccharides
Maitake|lentinulin
Maitake|lentinan
Maitake|KS2
Maitake|sulfides
Passionflower|apigenin
Passionflower|coumarins
Passionflower|flavonoids
Passionflower|gynocardin
Passionflower|harmala alkaloids
Passionflower|harmaline
Passionflower|harmane
Passionflower|harmalol
Passionflower|harmol
Passionflower|harmine
Passionflower|orientin
Passionflower|passicol
Passionflower|passiflorine
Passionflower|luteolin
Passionflower|scopoletin
Passionflower|umbelliferone
Rose|ascorbic
Rose|carotenoids
Rose|catechins
Rose|citric
Rose|flavonoids
Rose|malic
Rose|pectin
Rose|plant acids
Rose|polyphenols
Rose|quercetin
Rose|tannins
Rose|tocopherols
Shiitake|beta-glucans
Shiitake|cardiolipin
Shiitake|cerebrosides
Shiitake|emitanin
Shiitake|ergosterol
Shiitake|eritadenine
Shiitake|polysaccharides
Shiitake|lentinulin
Shiitake|lentinan
Shiitake|KS2
Shiitake|sulfides
Skullcap|alkanes
Skullcap|apigenin
Skullcap|baicalin
Skullcap|catalpol
Skullcap|humulene
Skullcap|lignin
Skullcap|sculelaterins
Skullcap|scutellarein
Skullcap|tannins
Thyme|apigenin
Thyme|borneol
Thyme|caffeic acid
Thyme|carvacrol
Thyme|cineole
Thyme|eugenol
Thyme|linalool
Thyme|phytosterols
Thyme|pinene
Thyme|rosmarinic acid
Thyme|tannins
Thyme|thymol
Wild Cherry|amygdalin
Wild Cherry|benzaldehyde
Wild Cherry|coumarins
Wild Cherry|cyanogenic glycosides
Wild Cherry|eudesmic acid
Wild Cherry|gallic acids
Wild Cherry|leucocyanidins
Wild Cherry|prunasin
Wild Cherry|tannins
Witch Hazel|catechins
Witch Hazel|hamamelin
Witch Hazel|quercetin
Witch Hazel|tannins
