herbKey|energeticQualityKey
Astragalus|Warming
Astragalus|Moistening
Astragalus|Tonifying
Boneset|Warming
Boneset|Drying
Boneset|Relaxing
California Poppy|Cooling
California Poppy|Drying
California Poppy|Relaxing
Catnip|Warming
Catnip|Cooling
Catnip|Drying
Catnip|Relaxing
Elder|Cooling
Elder|Drying
Elder|Relaxing
Elecampane|Warming
Elecampane|Drying
Elecampane|Tonifying
Garlic|Warming
Garlic|Drying
Garlic|Tonifying
Ginger|Warming
Ginger|Drying
Ginger|Relaxing
Hops|Cooling
Hops|Drying
Hops|Relaxing
Lobelia|Warming
Lobelia|Drying
Lobelia|Relaxing
Maitake|Warming
Maitake|Moistening
Maitake|Tonifying
Passionflower|Cooling
Passionflower|Drying
Passionflower|Relaxing
Pleurisy Root|Cooling
Pleurisy Root|Moistening
Pleurisy Root|Relaxing
Rose|Cooling
Rose|Drying
Rose|Tonifying
Shiitake|Warming
Shiitake|Moistening
Shiitake|Tonifying
Thyme|Warming
Thyme|Moistening
Thyme|Tonifying
Wild Cherry|Warming
Wild Cherry|Moistening
Wild Cherry|Relaxing
Witch Hazel|Cooling
Witch Hazel|Drying
Witch Hazel|Tonifying
