herbKey|organSystemKey
Astragalus|Endocrine
Astragalus|Immune
Boneset|Digestive
Boneset|Immune
Boneset|Nervous
Boneset|Osseous
California Poppy|Nervous
California Poppy|Muscular
California Poppy|Skeletal
Catnip|Digestive
Catnip|Nervous
Elder|Immune
Elecampane|Respiratory
Garlic|Digestive
Garlic|Circulatory
Ginger|Circulatory
Ginger|Digestive
Ginger|Reproductive
Hops|Digestive
Hops|Nervous
Lobelia|Respiratory
Maitake|Immune
Passionflower|Nervous
Pleurisy Root|Respiratory
Rose|Digestive
Rose|Integumentary
Rose|Nervous
Shiitake|Immune
Skullcap|Nervous
Thyme|Digestive
Thyme|Respiratory
Tulsi|Digestive
Tulsi|Endocrine
Tulsi|Nervous
Wild Cherry|Respiratory
Witch Hazel|Integumentary
