constituentKey|constituentName
alkanes|alkanes
apigenin|apigenin
asparagine|asparagine
astragalin|astragalin
astragalosides|astragalosides
baicalin|baicalin
caffeic acid|caffeic acid
caryophyllene|caryophyllene
catalpol|catalpol
cholorgenic acid|cholorgenic acid
citronellol|citronellol
diterpines|diterpines
flavonoids|flavonoids
formononetin|formononetin
geraniol|geraniol
humulene|humulene
hyperoside|hyperoside
iridoids|iridoids
kumatakenin|kumatakenin
lignin|lignin
limonene|limonene
nepetalactone|nepetalactone
nerol|nerol
polysaccharides|polysaccharides
quercetin|quercetin
saponins|saponins
scutellarein|scutellarein
sculelaterins|sculelaterins
sterols|sterols
susqueterpine lactones|susqueterpine lactones
tannins|tannins
thymol|thymol
ursolic acid|ursolic acid
volatiles|volatiles
