descriptionKey|description
Adaptogen|A substance that works to counteract the effects of stress in the body
Alterative|restorative, detoxifying substance
Analgesic|substance which relieves pain
Angiogenesis|the process by which new blood vessels form, allowing delivery of oxygen and nutrients to the body’s tissues; used particularly in relation to the growth of new blood vessels which “nourish” cancerous cells
Anodyne|substance which relieves pain
Anticoagulant|substance that thins the blood by slowing down the body's clotting processes
Antiemetic|a substance that is effective against nausea and vomiting
Antimicrobial|destroying or inhibiting the growth of microorganisms and especially pathogenic microorganisms
Antiplatelet|substance that thins the blood by preventing platelets from clumping together to form clots
Antispasmodic|a substance used to relieve spasm of involuntary muscle
Anti-Inflammatory|substance which reduces systemic inflammation
Antitussive|a substance which prevents or relieves a cough
Apoptosis|the death of cells which occurs as a normal and controlled part of an organism’s growth or development; planned cell death
Astringent|causing the contraction of skin cells and other body tissues
Bile|a bitter greenish-brown alkaline fluid that aids digestion and is secreted by the liver and stored in the gallbladder
Carminative|substance which relieves flatuence
Catarrhal|copious discharge of mucus associated with inflammation of mucous membranes, especially of the nose and throat
Cathartic|(chiefly of a drug) purgative
Cholagogue|substance which promotes the flow of bile
Choloretic|an ‘indirect’ cholagogue which increases the amount of bile that is released by the gallbladder
Demulcent|substance which relieves irritation of the mucous membranes
Diaphoretic|substance which induces perspiration
Diffusive|the quality of an herb that directs circulation and/or vitality from the core towards the surface
Digestive|a substance helpful to the process of digesting food
Diuretic|causing increased urination
Electuary|a medicinal substance mixed with honey or another sweet substance
Emetic|a substance causing nausea and/or vomiting
Emmenagogue|a substance that stimulates or increases menstrual flow
Emolient|having the quality of softening or soothing the skin
Enteric|relating to or occurring in the intestines
Exhilirant|a substance that lifts the spirit
Expectorant|a substance that helps bring up mucus and other material from the lungs, bronchi, and trachea
Galactagogue|a substance which promotes or increases the flow of a mother's milk
Hepatic|a substance having an affinity to the liver
Hepatoprotective|a substance that protects the liver
Hippocampus|the place in your brain where you “get over it”, where you process things in your life
Immune Stimulant|a substance which stimulates the immune system
Hypnotic|a substance which induces sleep
Hypoglycemic|a substance which increases insulin sensitivity; used as treatment for diabetes
Maceration|softened due to being soaked in a liquid
Mucilage|a polysaccharide substance extracted as a viscous or gelatinous solution from plat roots, seeds, etc. and used in medicines and adhesives
Mucilant|herbs having the ability to produce mucilage; they have a soothing and demulcent effect, and are used to coat and protect mucous membranes from irritation. They have a wide variety of applications, including sore throats, coughs, irritated stomach, bowels, bladder and kidneys
Nervine|substance which has calming effect on nervous system
Nervous trophorestorative|a substance which can restore the tissue of the nervous system
Nutritive|a substance which is nourishing to the body
Relaxant|a substance that relieves excess tension, rigidity, hypertonicity, etc
Rubefacient|a topical agent that attracts blood to the area; stimulates circulation & detoxification of the tissues & tissue fluids
Sedative|substance which promotes calm and induces sleep
Spp|stands for species pluralis (multiple species)
Stimulant|substance which enhances the function and energy/expression of a tissue, process, organ or system
Stomachic|a substance that relieves stomach issues
Temproromandibular Joint Dysfunction|(TMJ) an umbrella term covering pain and dysfunction of the muscles of mastication (the muscles that move the jaw) and  the temporomandibular joints (the joints which connect the mandible to the skull)
Trophorestorative|an herb that is a nutritive restorative; normally associated an organ or an organ system; tt rectifies the deficiency and or weakness pertaining to that organ; the effect can be temporaryor permanent
Vulnerary|a substance that heals disease and inflammation in the GI tract
