herbKey|latinName|commonName
Angelica|Angelica archangelica|Angelica
Ashwagandha|Withania somnifera|Ashwagandha
Astragalus|Astragalus membranaceus|Astragalus
Blackberry|Rubus fruticosus|Blackberry
Blue vervain|Verbena hastata|Blue vervain
Boneset|Eupatorium perfoliatum|Boneset
Burdock|Arctium lappa|Burdock
Calamus|Acorus calamus|Calamus
Calendula|Calendula offinalis|Calendula
California Poppy|Eschscholzia californica|California Poppy
Catnip|Nepeta cataria|Catnip
Cayenne|Capsicum annum|Cayenne
Centaury|Centaurium erythraea|Centaury
Chamomile|Matricaria recutita|Chamomile
Cinnamon verum|Cinnamomum verum|Cinnamon verum
Cinnamon cassia|Cinnamomum cassia|Cinnamon cassia
Cranberry|Vaccinium macrocarpon|Cranberry
Dandelion|Taraxacum officinale|Dandelion
Elder|Sambucus nigra, S. canadensis|Elder
Elecampane|Inula helenium|Elecampane
Fennel|Foeniculum vulgare|Fennel
Garlic|Allium sativa|Garlic
Ginger|Zingiber officinale|Ginger
Hawthorne|Crataegus spp.|Hawthorne
Hops|Humulus lupulus|Hops
Kava|Piper methysticum|Kava
Kelp|Alaria esculenta|Kelp
Lavender|Lavandula spp.|Lavender
Lemon Balm|Melissa officinalis|Lemon Balm
Linden|Tilia spp|Linden
Lobelia|Lobelia inflata|Lobelia
Maitake|Grifola frondosa|Maitake
Marshmallow|Althea officinalis|Marshmallow
Meadowsweet|Filipendula ulmaria|Meadowsweet
Motherwort|Leonurus cardiaca|Motherwort
Mugwort|Artemisia vulgaris|Mugwort
Nettle|Urtica dioica|Nettle
Passionflower|Passiflora incarnata|Passionflower
Peppermint|Mentha x piperita|Peppermint
Plantain|Plantago major|Plantain
Reishi|Ganoderma lucidum|Reishi
Rose|Rosa canina, R. multiflora, R. rugosa|Rose
Rosemary|Rosmarinus officinalis|Rosemary
Shiitake|Lentinula edodes|Shiitake
Skullcap|Scutellaria lateriflora|Skullcap
Slippery Elm|Ulmus rubra|Slippery Elm
Solomon’s Seal|Polygonatum biflorum & P. multiflorum|Solomon’s Seal
St. John’s Wort|Hypericum perforatum|St. John’s Wort
Staghorn Sumac|Rhus typhina|Staghorn Sumac
Sweet Annie|Artemisia Annua|Sweet Annie
Taragon|Artemisia dracunculus|Taragon
Thyme|Thymus vulgaris|Thyme
Tulsi|Ocimum sanctum, O. tenuiflorum|Tulsi
Turmeric|Curcuma longa|Turmeric
Uva Ursi|Arctostaphylos uva-ursi|Uva Ursi
Wild Cherry|Prunus serotina|Wild Cherry
Wild Lettuce|Lactuca virosa|Wild Lettuce
Willow|Salix alba|Willow
Witch Hazel|Hamamelis virginiana|Witch Hazel
Wood Betony|Stachys  officinalis|Wood Betony
Yarrow|Achillea Millefolium|Yarrow
Yellow Dock|Rumex crispus|Yellow Dock
